Player,Position,MLB_Team,Pct_Owned,Total_Points,Projected_Points,Injury_Status,HR,RBI,R,SB,AVG,W,ERA,WHIP,K,SV
Tommy Edman,2B,LAD,5.09,0.0,211.0,TEN_DAY_DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Baty,3B,NYM,5.04,12.0,208.0,ACTIVE,0.0,7.0,6.0,2.0,0.20338983,0.0,0.0,0.0,0.0,0.0
Chase Meidroth,SS,ChW,3.88,21.0,261.0,ACTIVE,1.0,2.0,8.0,1.0,0.22222222,0.0,0.0,0.0,0.0,0.0
Marcelo Mayer,3B,Bos,3.67,11.0,189.0,ACTIVE,1.0,3.0,5.0,1.0,0.1875,0.0,0.0,0.0,0.0,0.0
Travis Bazzana,2B,Cle,2.12,0.0,57.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasim Nunez,SS,Wsh,2.09,24.0,106.0,ACTIVE,0.0,5.0,9.0,7.0,0.2,0.0,0.0,0.0,0.0,0.0
Hyeseong Kim,2B,LAD,1.98,13.0,132.0,ACTIVE,1.0,3.0,4.0,1.0,0.27777778,0.0,0.0,0.0,0.0,0.0
Luisangel Acuna,2B,ChW,1.97,8.0,219.0,ACTIVE,0.0,2.0,4.0,4.0,0.16981132,0.0,0.0,0.0,0.0,0.0
Casey Schmitt,2B,SF,1.92,20.0,38.0,ACTIVE,1.0,5.0,5.0,1.0,0.30612245,0.0,0.0,0.0,0.0,0.0
Brayan Rocchio,SS,Cle,1.66,32.0,184.0,ACTIVE,2.0,8.0,8.0,0.0,0.21666667,0.0,0.0,0.0,0.0,0.0
Daniel Schneemann,2B,Cle,1.11,26.0,169.0,ACTIVE,1.0,7.0,6.0,1.0,0.29545455,0.0,0.0,0.0,0.0,0.0
Amed Rosario,3B,NYY,1.07,18.0,42.0,ACTIVE,2.0,6.0,2.0,0.0,0.26470588,0.0,0.0,0.0,0.0,0.0
Miguel Rojas,2B,LAD,1.06,13.0,116.0,ACTIVE,0.0,1.0,3.0,0.0,0.35714286,0.0,0.0,0.0,0.0,0.0
Oswald Peraza,3B,LAA,1.06,36.0,52.0,ACTIVE,4.0,8.0,6.0,3.0,0.26923077,0.0,0.0,0.0,0.0,0.0
Nick Gonzales,2B,Pit,1.04,22.0,150.0,ACTIVE,0.0,10.0,7.0,1.0,0.26315789,0.0,0.0,0.0,0.0,0.0
David Hamilton,2B,Mil,0.79,24.0,96.0,ACTIVE,0.0,3.0,8.0,4.0,0.21052632,0.0,0.0,0.0,0.0,0.0
Luis Rengifo,3B,Mil,0.78,11.0,212.0,ACTIVE,0.0,3.0,4.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
Alex Freeland,3B,LAD,0.74,7.0,69.0,ACTIVE,1.0,2.0,5.0,0.0,0.21276596,0.0,0.0,0.0,0.0,0.0
Kristian Campbell,2B,Bos,0.69,0.0,190.0,ACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristan Gray,2B,Min,0.67,20.0,21.0,ACTIVE,2.0,11.0,4.0,0.0,0.2962963,0.0,0.0,0.0,0.0,0.0
